item_no,barcode,name,comp_nm
65628,3178530402988,매크로통상본마망레몬타르트9개입,매크로통
65629,8801117555917,마켓오리얼브라우니12개입,마켓오리
65650,8804294024481,새롬식품정성담아팥양갱6개입,새롬식품
65661,8809238112347,프로엠맘스케어무농약오곡바나나스낵,프로엠
65667,8809106391133,리뉴얼라이프유기농현미가빠띠쉐를만나면베리삼총사,리뉴얼라
65668,8809238114488,프로엠맘스케어뽀로로떡뻥,프로엠
65681,8801007639840,씨제이쁘티첼구미젤리포도,씨제이제일제당
65712,,엄마사랑)국내산쌀로만든유기농현미크런치,엄마사랑
65713,8809093125506,엄마사랑)국내산쌀로만든아몬드크런치,엄마사랑
65718,8801111913782,크라운제과피코크우리밀버터와플,크라운제과
65719,8801111186124,크라운제과쿠크다스화이트에디션,크라운제과
65720,8801062017195,롯데칙촉티라미수12+4봉 더드림,롯데제과
65722,041420471995,비에이치델리블랙포레스트믹스드후르츠,비에이치
65723,8801062517916,롯데칙촉오리지날,롯데제과
65727,8801062632138,롯데몽쉘카카오생크림케이크12봉,롯데제과
65728,8801133007421,머거본피크닉캠핑홈파티간식파티팩,머거본
65732,7312220023398,로투스베이커즈코리아안나카푸치노향틴,한국로투스
65778,8855282100915,빌그린통가든와사비완두콩,빌그린통
65780,8801157551856,일동후디스아이밀냠냠유기농쌀과자시금치떡뻥,일동후디스
